  crm_opportunities  ·  500 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
OPP0205,ACC0027,Assistant IA Total,Closed Won,1863156.1,100,2024-11-23,TND,EMP0092,2023-05-13,1863156.1,
OPP0206,ACC0071,Refonte Architecture SI Microsoft,Closed Lost,2392051.06,0,2025-04-12,TND,EMP0147,2023-03-31,0,Competitor selected
OPP0207,ACC0103,Audit Urbanisation SI STEG,Proposal,2436006.09,50,2025-12-30,TND,EMP0036,2023-06-14,1218003.04,
OPP0208,ACC0039,Cybersecurite VERMEG,Negotiation,1318190.9,75,2025-09-09,TND,EMP0017,2022-07-02,988643.18,
OPP0209,ACC0055,Deploiement Cloud STEG,Proposal,686720.76,50,2023-06-01,TND,EMP0042,2023-02-23,343360.38,
OPP0210,ACC0028,Integration ERP SOMOCER,Closed Lost,1002637.3,0,2025-04-14,TND,EMP0105,2022-01-01,0,Competitor selected
OPP0211,ACC0064,Transformation Digitale Ooredoo,Proposal,1496404.97,50,2024-01-18,TND,EMP0131,2022-07-13,748202.48,
OPP0212,ACC0200,Audit Urbanisation SI Ministere,Negotiation,570983.92,75,2024-11-11,TND,EMP0072,2023-09-11,428237.94,
OPP0213,ACC0068,Digital Twin Ministere,Negotiation,146808.24,75,2023-10-24,TND,EMP0009,2023-01-31,110106.18,
OPP0214,ACC0071,Integration ERP Ministere,Closed Lost,243963.71,0,2024-08-15,TND,EMP0017,2024-08-20,0,No budget
OPP0215,ACC0192,Implementation CRM SNCFT,Closed Lost,2061031.01,0,2025-09-18,TND,EMP0138,2022-03-27,0,No budget
OPP0216,ACC0103,Deploiement Cloud SPS,Closed Won,1609999.68,100,2023-01-06,TND,EMP0021,2024-06-25,1609999.68,
OPP0217,ACC0133,Digital Twin Tunisie,Proposal,510538.27,50,2025-04-27,TND,EMP0048,2024-03-18,255269.14,
OPP0218,ACC0068,Accompagnement Agile TTS,Closed Lost,1966671.87,0,2025-02-10,TND,EMP0149,2024-03-21,0,No budget
OPP0219,ACC0080,Audit Urbanisation SI Ministere,Closed Lost,1143854.5,0,2025-06-20,TND,EMP0024,2023-11-02,0,No decision
OPP0220,ACC0081,Cybersecurite SPS,Proposal,1161107.1,50,2024-06-18,TND,EMP0035,2023-01-05,580553.55,
OPP0221,ACC0093,Accompagnement Agile IBM,Prospecting,472810.26,10,2025-09-05,TND,EMP0012,2023-12-21,47281.03,
OPP0222,ACC0122,Implementation CRM Total,Prospecting,2370456.96,10,2023-05-25,TND,EMP0016,2023-04-11,237045.7,
OPP0223,ACC0054,Digital Twin Delice,Closed Won,1319989.52,100,2025-03-19,TND,EMP0033,2022-07-24,1319989.52,
OPP0224,ACC0084,Digital Twin BIAT,Closed Won,1865781.98,100,2024-06-16,TND,EMP0002,2022-04-11,1865781.98,
OPP0225,ACC0035,Assistant IA UIB,Prospecting,1756759.19,10,2024-09-08,TND,EMP0076,2024-02-10,175675.92,
OPP0226,ACC0190,Transformation Digitale Talan,Negotiation,2444216.2,75,2024-07-15,TND,EMP0013,2023-11-01,1833162.15,
OPP0227,ACC0042,Assistant IA Attijari,Negotiation,435956.08,75,2024-06-20,TND,EMP0094,2024-09-30,326967.06,
OPP0228,ACC0138,Deploiement Cloud Ministere,Negotiation,2124120.03,75,2024-11-27,TND,EMP0079,2023-10-16,1593090.02,
OPP0229,ACC0130,Migration SAP OCP,Qualification,248886.43,25,2024-01-29,TND,EMP0095,2023-06-13,62221.61,
OPP0230,ACC0034,Implementation CRM TTS,Negotiation,2038057.89,75,2025-02-19,TND,EMP0075,2022-04-21,1528543.42,
OPP0231,ACC0162,Assistant IA UIB,Prospecting,1850972.46,10,2025-03-23,TND,EMP0014,2022-01-19,185097.25,
OPP0232,ACC0042,Cybersecurite GCT,Closed Lost,2116674.65,0,2025-05-21,TND,EMP0076,2023-01-06,0,Project cancelled
OPP0233,ACC0123,Audit Urbanisation SI Ooredoo,Negotiation,1703802.14,75,2025-05-26,TND,EMP0081,2022-05-18,1277851.6,
OPP0234,ACC0027,Migration SAP SONEDE,Negotiation,354413.83,75,2023-02-26,TND,EMP0026,2022-07-09,265810.37,
OPP0235,ACC0065,Implementation CRM Sfax,Proposal,2253031.41,50,2025-10-27,TND,EMP0138,2022-01-31,1126515.71,
OPP0236,ACC0151,Integration ERP STB,Prospecting,1368246.5,10,2025-08-29,TND,EMP0144,2022-09-19,136824.65,
OPP0237,ACC0045,Migration SAP Attijari,Qualification,2160059.8,25,2023-06-12,TND,EMP0004,2023-07-14,540014.95,
OPP0238,ACC0184,Data Platform Ooredoo,Negotiation,86330.96,75,2023-10-04,TND,EMP0109,2022-06-05,64748.22,
OPP0239,ACC0043,Refonte Architecture SI Sfax,Qualification,1395891.08,25,2023-08-16,TND,EMP0059,2024-09-07,348972.77,
OPP0240,ACC0111,Transformation Digitale Delice,Proposal,578452.79,50,2024-04-11,TND,EMP0137,2022-04-09,289226.4,
OPP0241,ACC0163,Audit Urbanisation SI Amen,Negotiation,1778385.07,75,2024-12-18,TND,EMP0132,2022-12-25,1333788.8,
OPP0242,ACC0032,Data Platform Leoni,Proposal,1171358.2,50,2023-09-19,TND,EMP0093,2023-07-04,585679.1,
OPP0243,ACC0174,Digital Twin Talan,Prospecting,1761839.77,10,2023-03-06,TND,EMP0095,2023-08-08,176183.98,
OPP0244,ACC0087,Integration ERP Microsoft,Closed Lost,1378456.51,0,2025-08-14,TND,EMP0020,2022-08-17,0,No budget
OPP0245,ACC0040,Digital Twin Ministere,Qualification,1175369.71,25,2024-02-01,TND,EMP0126,2022-06-23,293842.43,
OPP0246,ACC0199,Deploiement Cloud Leoni,Negotiation,1244382.06,75,2025-06-16,TND,EMP0076,2022-12-07,933286.55,
OPP0247,ACC0008,Transformation Digitale Tunisair,Negotiation,317207.27,75,2023-12-14,TND,EMP0019,2024-08-30,237905.45,
OPP0248,ACC0168,Digital Twin Microsoft,Proposal,730171.57,50,2023-01-26,TND,EMP0100,2023-05-21,365085.78,
OPP0249,ACC0085,Assistant IA Tunisair,Prospecting,1619032.21,10,2024-06-06,TND,EMP0059,2023-10-28,161903.22,
OPP0250,ACC0038,Digital Twin Ministere,Closed Lost,805054.32,0,2025-10-27,TND,EMP0059,2023-09-18,0,Price too high
OPP0251,ACC0180,Audit Urbanisation SI CIH,Prospecting,724846.58,10,2023-03-15,TND,EMP0102,2024-06-21,72484.66,
OPP0252,ACC0074,Transformation Digitale Amen,Negotiation,2079722.93,75,2025-10-31,TND,EMP0045,2023-07-26,1559792.2,
OPP0253,ACC0172,Accompagnement Agile Amen,Proposal,454430.84,50,2024-06-04,TND,EMP0014,2024-12-24,227215.42,
OPP0254,ACC0093,Audit Urbanisation SI Sfax,Qualification,594675.3,25,2025-12-31,TND,EMP0056,2024-07-11,148668.83,
OPP0255,ACC0004,Data Platform GCT,Closed Lost,1604814.39,0,2023-08-08,TND,EMP0032,2022-10-29,0,Price too high
OPP0256,ACC0129,Refonte Architecture SI SNCFT,Closed Won,2466752.29,100,2025-07-23,TND,EMP0146,2024-05-21,2466752.29,
OPP0257,ACC0132,Transformation Digitale Orange,Closed Won,462301.38,100,2025-12-16,TND,EMP0081,2024-09-12,462301.38,
OPP0258,ACC0123,Migration SAP BNA,Closed Won,1825027.59,100,2023-09-30,TND,EMP0036,2023-06-04,1825027.59,
OPP0259,ACC0010,Digital Twin Ministere,Negotiation,2246437.46,75,2024-04-21,TND,EMP0045,2023-07-03,1684828.09,
OPP0260,ACC0143,Audit Urbanisation SI Sfax,Qualification,2229099.93,25,2024-02-22,TND,EMP0061,2023-05-03,557274.98,
OPP0261,ACC0039,Integration ERP SPS,Closed Won,426998.69,100,2023-07-31,TND,EMP0041,2023-03-07,426998.69,
OPP0262,ACC0132,Integration ERP Orange,Qualification,1664635.72,25,2025-11-24,TND,EMP0032,2022-04-02,416158.93,
OPP0263,ACC0048,Audit Urbanisation SI Carthage,Prospecting,2260912.83,10,2023-01-31,TND,EMP0005,2022-05-10,226091.28,
OPP0264,ACC0099,Assistant IA OCP,Closed Lost,2219009.1,0,2025-12-05,TND,EMP0012,2022-03-03,0,No budget
OPP0265,ACC0184,Digital Twin Attijari,Closed Won,426798.82,100,2025-09-11,TND,EMP0022,2023-08-29,426798.82,
OPP0266,ACC0099,Deploiement Cloud Amen,Qualification,1729716.81,25,2025-02-02,TND,EMP0061,2023-08-16,432429.2,
OPP0267,ACC0165,Integration ERP STIIP,Proposal,1174979.82,50,2024-05-14,TND,EMP0071,2024-05-12,587489.91,
OPP0268,ACC0050,Implementation CRM GCT,Closed Won,2199421.97,100,2023-10-11,TND,EMP0081,2022-07-20,2199421.97,
OPP0269,ACC0051,Cybersecurite CNSS,Prospecting,2025338.64,10,2023-01-08,TND,EMP0104,2023-01-09,202533.86,
OPP0270,ACC0072,Audit Urbanisation SI IBM,Prospecting,2435575.55,10,2025-01-27,TND,EMP0020,2023-11-10,243557.55,
OPP0271,ACC0112,Assistant IA Talan,Prospecting,1196901.61,10,2023-04-05,TND,EMP0024,2022-06-01,119690.16,
OPP0272,ACC0095,Assistant IA VERMEG,Prospecting,2001429.05,10,2025-03-15,TND,EMP0058,2023-08-01,200142.9,
OPP0273,ACC0139,Transformation Digitale SNCFT,Prospecting,2037028.13,10,2025-07-04,TND,EMP0069,2024-08-19,203702.81,
OPP0274,ACC0158,Data Platform SONEDE,Prospecting,1318897.65,10,2025-12-06,TND,EMP0050,2024-05-30,131889.77,
OPP0275,ACC0076,Digital Twin Ministere,Negotiation,626366.46,75,2024-02-19,TND,EMP0146,2024-04-09,469774.84,
OPP0276,ACC0156,Cybersecurite VERMEG,Qualification,935623.99,25,2025-03-06,TND,EMP0139,2024-06-06,233906,
OPP0277,ACC0163,Refonte Architecture SI SONEDE,Closed Won,1286009.84,100,2025-12-01,TND,EMP0125,2022-05-29,1286009.84,
OPP0278,ACC0095,Accompagnement Agile CNSS,Proposal,1742274.69,50,2023-03-04,TND,EMP0020,2024-07-19,871137.34,
OPP0279,ACC0178,Cybersecurite TTS,Negotiation,1521109.36,75,2023-02-17,TND,EMP0023,2022-09-29,1140832.02,
OPP0280,ACC0117,Transformation Digitale UIB,Negotiation,308594.51,75,2025-01-04,TND,EMP0021,2022-01-12,231445.88,
OPP0281,ACC0036,Transformation Digitale STB,Closed Won,2496503.4,100,2025-01-24,TND,EMP0131,2023-10-06,2496503.4,
OPP0282,ACC0125,Deploiement Cloud STEG,Prospecting,1613835.16,10,2025-08-01,TND,EMP0036,2024-09-26,161383.52,
OPP0283,ACC0155,Transformation Digitale VERMEG,Proposal,1112516.89,50,2025-02-27,TND,EMP0142,2022-10-24,556258.44,
OPP0284,ACC0156,Accompagnement Agile Sfax,Proposal,934159.26,50,2023-07-08,TND,EMP0046,2022-11-30,467079.63,
OPP0285,ACC0086,Digital Twin UIB,Qualification,713019.5,25,2025-09-04,TND,EMP0068,2024-01-21,178254.88,
OPP0286,ACC0027,Accompagnement Agile CNAM,Proposal,383684.47,50,2023-09-28,TND,EMP0012,2023-10-16,191842.23,
OPP0287,ACC0033,Transformation Digitale IBM,Negotiation,382009.59,75,2025-11-01,TND,EMP0094,2024-10-14,286507.19,
OPP0288,ACC0188,Audit Urbanisation SI STB,Prospecting,1631999.44,10,2023-02-06,TND,EMP0057,2023-12-02,163199.94,
OPP0289,ACC0014,Cybersecurite Microsoft,Negotiation,2289554.2,75,2024-07-17,TND,EMP0035,2023-07-25,1717165.65,
OPP0290,ACC0129,Cybersecurite SNCFT,Negotiation,771608.62,75,2023-12-30,TND,EMP0072,2022-01-11,578706.46,
OPP0291,ACC0125,Assistant IA Banque,Prospecting,1608739.99,10,2023-07-02,TND,EMP0116,2023-05-08,160874,
OPP0292,ACC0108,Digital Twin Banque,Prospecting,1723390.24,10,2023-10-07,TND,EMP0139,2024-02-04,172339.02,
OPP0293,ACC0017,Assistant IA SPS,Prospecting,2159876.46,10,2025-09-13,TND,EMP0016,2022-07-07,215987.65,
OPP0294,ACC0001,Transformation Digitale CIH,Prospecting,960511.46,10,2025-01-31,TND,EMP0028,2022-06-26,96051.15,
OPP0295,ACC0110,Digital Twin CIH,Proposal,1400567.85,50,2024-01-16,TND,EMP0059,2024-06-21,700283.93,
OPP0296,ACC0052,Transformation Digitale Banque,Prospecting,1748542.67,10,2023-10-06,TND,EMP0111,2023-10-05,174854.27,
OPP0297,ACC0002,Data Platform BNA,Closed Lost,2102022.15,0,2023-01-31,TND,EMP0023,2024-10-29,0,No budget
OPP0298,ACC0144,Accompagnement Agile UIB,Closed Won,1183828.78,100,2024-10-01,TND,EMP0037,2024-12-04,1183828.78,
OPP0299,ACC0152,Integration ERP BNA,Negotiation,1653621.96,75,2025-04-26,TND,EMP0066,2023-07-26,1240216.47,
OPP0300,ACC0106,Deploiement Cloud SOMOCER,Negotiation,692607.81,75,2023-08-25,TND,EMP0052,2023-09-29,519455.86,
OPP0301,ACC0055,Integration ERP Banque,Closed Won,1608134.96,100,2023-06-19,TND,EMP0012,2022-11-11,1608134.96,
OPP0302,ACC0057,Cybersecurite Orange,Proposal,1124542.92,50,2025-04-05,TND,EMP0076,2023-03-13,562271.46,
OPP0303,ACC0113,Transformation Digitale Orange,Closed Lost,690806.6,0,2025-01-07,TND,EMP0039,2024-05-11,0,Project cancelled
OPP0304,ACC0104,Transformation Digitale BNA,Closed Won,1583129.57,100,2023-05-04,TND,EMP0110,2024-07-06,1583129.57,
OPP0305,ACC0184,Cybersecurite IBM,Qualification,1623008.14,25,2024-03-24,TND,EMP0129,2023-02-04,405752.03,
OPP0306,ACC0046,Transformation Digitale Star,Closed Won,651124.58,100,2024-09-13,TND,EMP0077,2024-04-11,651124.58,
OPP0307,ACC0085,Cybersecurite CNAM,Qualification,2043338,25,2023-04-08,TND,EMP0114,2023-07-21,510834.5,
OPP0308,ACC0101,Deploiement Cloud Sfax,Closed Lost,302395.11,0,2023-04-13,TND,EMP0091,2022-06-13,0,Project cancelled
OPP0309,ACC0041,Integration ERP Banque,Proposal,1682080.02,50,2025-03-24,TND,EMP0003,2022-03-11,841040.01,
OPP0310,ACC0197,Deploiement Cloud CNSS,Closed Won,636427.11,100,2024-11-13,TND,EMP0080,2022-02-26,636427.11,
OPP0311,ACC0060,Assistant IA VERMEG,Closed Lost,2425852.95,0,2023-07-28,TND,EMP0119,2024-11-05,0,No decision
OPP0312,ACC0154,Digital Twin STIIP,Negotiation,777209.96,75,2023-07-14,TND,EMP0076,2024-06-30,582907.47,
OPP0313,ACC0014,Audit Urbanisation SI Leoni,Closed Lost,295272.1,0,2025-03-07,TND,EMP0104,2024-01-30,0,No decision
OPP0314,ACC0069,Transformation Digitale Poulina,Qualification,1731012.78,25,2024-10-07,TND,EMP0022,2022-10-04,432753.2,
OPP0315,ACC0081,Audit Urbanisation SI BNA,Qualification,1649435.09,25,2025-06-15,TND,EMP0107,2022-04-14,412358.77,
OPP0316,ACC0029,Refonte Architecture SI SOMOCER,Prospecting,1022923.76,10,2024-10-16,TND,EMP0047,2023-12-12,102292.38,
OPP0317,ACC0113,Implementation CRM CNAM,Closed Lost,675666,0,2024-06-15,TND,EMP0012,2024-10-05,0,Price too high
OPP0318,ACC0181,Data Platform Total,Prospecting,2242673.42,10,2025-06-26,TND,EMP0141,2022-04-12,224267.34,
OPP0319,ACC0165,Deploiement Cloud Delice,Proposal,561800.96,50,2025-01-19,TND,EMP0017,2022-04-09,280900.48,
OPP0320,ACC0074,Transformation Digitale CNAM,Prospecting,956209.3,10,2025-03-15,TND,EMP0004,2023-02-21,95620.93,
OPP0321,ACC0001,Assistant IA UIB,Closed Lost,1859635.58,0,2023-08-31,TND,EMP0009,2023-03-16,0,Project cancelled
OPP0322,ACC0130,Implementation CRM Yazaki,Negotiation,1450698.4,75,2023-04-04,TND,EMP0077,2022-07-12,1088023.8,
OPP0323,ACC0158,Cybersecurite SOMOCER,Qualification,744974.23,25,2024-11-20,TND,EMP0063,2024-02-05,186243.56,
OPP0324,ACC0038,Refonte Architecture SI Carthage,Closed Lost,126008.76,0,2024-11-28,TND,EMP0009,2022-05-02,0,No decision
OPP0325,ACC0146,Integration ERP OCP,Negotiation,1124985.7,75,2025-09-24,TND,EMP0110,2022-05-01,843739.28,
OPP0326,ACC0184,Refonte Architecture SI VERMEG,Prospecting,1346082.09,10,2025-03-03,TND,EMP0062,2024-09-07,134608.21,
OPP0327,ACC0178,Audit Urbanisation SI CNSS,Closed Won,1921994.03,100,2024-06-30,TND,EMP0146,2023-08-15,1921994.03,
OPP0328,ACC0058,Transformation Digitale Ministere,Proposal,468664.1,50,2025-02-06,TND,EMP0118,2024-02-12,234332.05,
OPP0329,ACC0084,Digital Twin Attijari,Qualification,853899.44,25,2024-11-15,TND,EMP0090,2022-01-23,213474.86,
OPP0330,ACC0055,Data Platform STIIP,Prospecting,2472013.56,10,2025-10-07,TND,EMP0101,2023-01-12,247201.36,
OPP0331,ACC0118,Transformation Digitale Banque,Proposal,374525.71,50,2023-08-05,TND,EMP0048,2022-11-03,187262.86,
OPP0332,ACC0079,Cybersecurite OCP,Qualification,1946384.57,25,2024-03-29,TND,EMP0009,2022-03-23,486596.14,
OPP0333,ACC0174,Migration SAP Attijari,Closed Lost,1131315.97,0,2025-05-13,TND,EMP0139,2024-04-27,0,No decision
OPP0334,ACC0063,Cybersecurite CIH,Closed Won,1818626.23,100,2024-06-02,TND,EMP0030,2022-07-01,1818626.23,
OPP0335,ACC0114,Deploiement Cloud Ministere,Negotiation,1908457.76,75,2025-03-15,TND,EMP0002,2023-07-31,1431343.32,
OPP0336,ACC0117,Refonte Architecture SI Ministere,Closed Lost,2357203.95,0,2024-11-16,TND,EMP0145,2023-01-17,0,No budget
OPP0337,ACC0152,Refonte Architecture SI Microsoft,Prospecting,1147812.7,10,2023-12-17,TND,EMP0012,2023-04-18,114781.27,
OPP0338,ACC0172,Assistant IA BIAT,Qualification,462373.96,25,2025-05-08,TND,EMP0037,2024-07-26,115593.49,
OPP0339,ACC0134,Refonte Architecture SI Total,Proposal,1439977.5,50,2024-12-25,TND,EMP0119,2022-02-20,719988.75,
OPP0340,ACC0001,Cybersecurite Tunisair,Closed Lost,319699.68,0,2023-09-16,TND,EMP0089,2022-11-28,0,Project cancelled
OPP0341,ACC0047,Audit Urbanisation SI GCT,Qualification,417685.04,25,2023-01-13,TND,EMP0044,2022-07-22,104421.26,
OPP0342,ACC0018,Accompagnement Agile STEG,Closed Lost,666566.73,0,2023-12-17,TND,EMP0126,2022-01-09,0,No decision
OPP0343,ACC0145,Assistant IA Microsoft,Closed Lost,2278631.57,0,2025-01-19,TND,EMP0029,2024-10-27,0,No budget
OPP0344,ACC0138,Data Platform SPS,Negotiation,1797695.46,75,2024-03-09,TND,EMP0021,2023-10-03,1348271.59,
OPP0345,ACC0177,Implementation CRM STIIP,Closed Won,232306.42,100,2025-08-07,TND,EMP0025,2024-02-21,232306.42,
OPP0346,ACC0012,Digital Twin STEG,Closed Won,1781740.98,100,2025-11-24,TND,EMP0123,2024-12-31,1781740.98,
OPP0347,ACC0018,Integration ERP Orange,Closed Lost,1786042.01,0,2024-03-18,TND,EMP0149,2024-09-09,0,Price too high
OPP0348,ACC0071,Deploiement Cloud IBM,Qualification,1370572.26,25,2025-11-08,TND,EMP0025,2024-11-18,342643.07,
OPP0349,ACC0185,Digital Twin SONEDE,Qualification,953236.01,25,2023-12-11,TND,EMP0046,2023-03-14,238309,
OPP0350,ACC0138,Implementation CRM TTS,Closed Won,1913925.92,100,2024-08-26,TND,EMP0040,2022-05-02,1913925.92,
OPP0351,ACC0072,Migration SAP SNCFT,Proposal,1193255.46,50,2023-07-01,TND,EMP0055,2022-09-27,596627.73,
OPP0352,ACC0192,Implementation CRM Amen,Closed Lost,1874723.77,0,2025-12-10,TND,EMP0093,2023-02-06,0,Competitor selected
OPP0353,ACC0173,Implementation CRM Poulina,Closed Lost,778097.93,0,2023-01-21,TND,EMP0054,2022-04-14,0,Project cancelled
OPP0354,ACC0057,Assistant IA Amen,Proposal,2337682.64,50,2023-11-02,TND,EMP0128,2024-01-06,1168841.32,
OPP0355,ACC0063,Digital Twin Tunisie,Qualification,697183.3,25,2023-07-31,TND,EMP0034,2024-10-27,174295.83,
OPP0356,ACC0086,Accompagnement Agile Talan,Prospecting,1113333.09,10,2025-05-05,TND,EMP0051,2022-01-06,111333.31,
OPP0357,ACC0089,Deploiement Cloud Attijari,Closed Lost,1793157.54,0,2023-04-28,TND,EMP0092,2024-03-25,0,Price too high
OPP0358,ACC0157,Cybersecurite Attijari,Closed Won,908505.99,100,2023-07-16,TND,EMP0006,2022-11-28,908505.99,
OPP0359,ACC0107,Assistant IA Talan,Closed Won,341320.74,100,2023-07-03,TND,EMP0011,2022-11-22,341320.74,
OPP0360,ACC0056,Transformation Digitale SPS,Closed Won,1725621.01,100,2025-12-23,TND,EMP0139,2023-07-20,1725621.01,
OPP0361,ACC0101,Cybersecurite Poulina,Prospecting,1424965.7,10,2025-03-03,TND,EMP0052,2022-08-31,142496.57,
OPP0362,ACC0004,Deploiement Cloud IBM,Negotiation,1915040.61,75,2025-09-24,TND,EMP0095,2024-05-05,1436280.46,
OPP0363,ACC0193,Transformation Digitale Orange,Negotiation,1641284.44,75,2025-08-01,TND,EMP0101,2022-11-10,1230963.33,
OPP0364,ACC0101,Audit Urbanisation SI UIB,Prospecting,2176987.52,10,2025-11-14,TND,EMP0149,2023-08-11,217698.75,
OPP0365,ACC0168,Assistant IA CNSS,Proposal,1690596.5,50,2024-09-07,TND,EMP0101,2023-02-07,845298.25,
OPP0366,ACC0155,Refonte Architecture SI Tunisair,Closed Lost,96689.4,0,2024-09-19,TND,EMP0089,2022-01-18,0,Price too high
OPP0367,ACC0043,Cybersecurite Ministere,Proposal,414992.59,50,2025-02-10,TND,EMP0044,2024-02-29,207496.3,
OPP0368,ACC0031,Migration SAP Tunisie,Qualification,702805.96,25,2025-06-07,TND,EMP0066,2023-03-20,175701.49,
OPP0369,ACC0190,Data Platform Poulina,Negotiation,2396422.84,75,2023-10-09,TND,EMP0039,2022-07-27,1797317.13,
OPP0370,ACC0132,Deploiement Cloud Orange,Closed Lost,1532591.61,0,2025-11-20,TND,EMP0026,2024-04-14,0,Project cancelled
OPP0371,ACC0186,Digital Twin Tunisair,Qualification,926352.28,25,2024-05-06,TND,EMP0147,2024-02-18,231588.07,
OPP0372,ACC0052,Accompagnement Agile Carthage,Proposal,831345.3,50,2024-03-27,TND,EMP0073,2024-08-01,415672.65,
OPP0373,ACC0171,Integration ERP Ooredoo,Qualification,138423.14,25,2025-01-18,TND,EMP0058,2023-05-18,34605.79,
OPP0374,ACC0009,Digital Twin Orange,Proposal,1720317.19,50,2024-02-19,TND,EMP0094,2024-12-19,860158.59,
OPP0375,ACC0008,Transformation Digitale Total,Negotiation,1621723.55,75,2025-04-10,TND,EMP0120,2024-03-10,1216292.66,
OPP0376,ACC0128,Audit Urbanisation SI Carthage,Closed Lost,1186162.54,0,2024-07-04,TND,EMP0069,2023-11-19,0,Competitor selected
OPP0377,ACC0062,Transformation Digitale SPS,Qualification,1277095.45,25,2025-01-08,TND,EMP0070,2024-03-15,319273.86,
OPP0378,ACC0098,Migration SAP Banque,Negotiation,338789.92,75,2025-10-26,TND,EMP0072,2022-09-17,254092.44,
OPP0379,ACC0088,Implementation CRM Carthage,Prospecting,557452.19,10,2023-12-29,TND,EMP0003,2023-11-12,55745.22,
OPP0380,ACC0131,Accompagnement Agile CNSS,Closed Won,174425.79,100,2024-09-19,TND,EMP0103,2022-10-20,174425.79,
OPP0381,ACC0148,Deploiement Cloud CNAM,Proposal,1651038.2,50,2025-01-30,TND,EMP0115,2023-01-08,825519.1,
OPP0382,ACC0004,Accompagnement Agile CNSS,Prospecting,751917.19,10,2024-05-05,TND,EMP0095,2022-09-01,75191.72,
OPP0383,ACC0099,Cybersecurite BH,Proposal,478469.76,50,2024-01-07,TND,EMP0068,2023-02-05,239234.88,
OPP0384,ACC0107,Cybersecurite CNSS,Qualification,2487467.9,25,2023-11-19,TND,EMP0080,2023-03-14,621866.97,
OPP0385,ACC0116,Audit Urbanisation SI OCP,Closed Lost,1175005.45,0,2023-04-25,TND,EMP0118,2023-04-08,0,No budget
OPP0386,ACC0008,Audit Urbanisation SI Sfax,Prospecting,425583.86,10,2023-02-07,TND,EMP0092,2022-12-09,42558.39,
OPP0387,ACC0021,Assistant IA Delice,Qualification,381161.65,25,2023-09-04,TND,EMP0143,2023-07-30,95290.41,
OPP0388,ACC0054,Cybersecurite GCT,Proposal,1840871.75,50,2023-11-17,TND,EMP0046,2024-06-05,920435.88,
OPP0389,ACC0067,Audit Urbanisation SI SOMOCER,Closed Won,1645760.32,100,2025-08-01,TND,EMP0128,2023-02-02,1645760.32,
OPP0390,ACC0166,Cybersecurite STB,Closed Lost,696514.72,0,2023-12-02,TND,EMP0038,2023-04-01,0,Price too high
OPP0391,ACC0116,Data Platform OCP,Negotiation,918692.41,75,2025-08-05,TND,EMP0083,2024-04-12,689019.31,
OPP0392,ACC0120,Implementation CRM TTS,Qualification,1797268.42,25,2024-02-04,TND,EMP0016,2022-04-06,449317.1,
OPP0393,ACC0040,Refonte Architecture SI Tunisie,Closed Lost,800085.11,0,2025-01-01,TND,EMP0095,2023-10-29,0,Price too high
OPP0394,ACC0169,Data Platform STEG,Closed Lost,1091823.89,0,2025-11-29,TND,EMP0039,2024-09-17,0,Competitor selected
OPP0395,ACC0187,Deploiement Cloud CIH,Closed Lost,841375.62,0,2023-12-31,TND,EMP0082,2024-08-06,0,No budget
OPP0396,ACC0031,Refonte Architecture SI Total,Closed Lost,1612980.13,0,2024-02-04,TND,EMP0059,2022-09-10,0,Price too high
OPP0397,ACC0136,Assistant IA Amen,Qualification,196823.61,25,2025-03-26,TND,EMP0009,2023-02-11,49205.9,
OPP0398,ACC0097,Assistant IA Attijari,Prospecting,1258017.04,10,2024-02-10,TND,EMP0133,2024-03-11,125801.7,
OPP0399,ACC0154,Transformation Digitale TTS,Qualification,526654.31,25,2023-02-24,TND,EMP0089,2022-09-19,131663.58,
OPP0400,ACC0158,Audit Urbanisation SI SPS,Closed Lost,2238158.86,0,2025-02-03,TND,EMP0038,2022-12-13,0,Competitor selected
OPP0401,ACC0059,Cybersecurite CNAM,Qualification,210840.87,25,2025-06-25,TND,EMP0094,2024-08-28,52710.22,
OPP0402,ACC0091,Accompagnement Agile Poulina,Closed Lost,1627015.2,0,2024-03-30,TND,EMP0110,2022-06-28,0,Project cancelled
OPP0403,ACC0009,Implementation CRM CIH,Closed Won,100887.5,100,2024-12-17,TND,EMP0013,2024-07-29,100887.5,
OPP0404,ACC0048,Accompagnement Agile STEG,Prospecting,1152100.62,10,2025-11-13,TND,EMP0031,2024-11-01,115210.06,
OPP0405,ACC0098,Data Platform Carthage,Qualification,747249.87,25,2024-02-14,TND,EMP0032,2022-11-16,186812.47,
OPP0406,ACC0091,Digital Twin CNAM,Negotiation,2128611.63,75,2023-07-24,TND,EMP0127,2024-06-09,1596458.72,
OPP0407,ACC0137,Implementation CRM GCT,Closed Lost,219985.51,0,2024-06-20,TND,EMP0084,2024-06-25,0,Competitor selected
OPP0408,ACC0038,Refonte Architecture SI Star,Proposal,2370928.38,50,2023-09-26,TND,EMP0040,2022-10-18,1185464.19,
OPP0409,ACC0005,Migration SAP Orange,Qualification,1973704.87,25,2025-11-07,TND,EMP0040,2023-12-10,493426.22,
OPP0410,ACC0184,Deploiement Cloud Poulina,Closed Won,1938217.71,100,2023-11-12,TND,EMP0091,2024-04-09,1938217.71,
