  hr_project_milestones  ·  480 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
MS00256,PRJ0032,Project Closure,2025-03-08,100,Completed,EMP0112,136388.06,109757.64,Client approval pending
MS00257,PRJ0033,Kickoff & Requirements,2024-01-23,100,Completed,EMP0081,86654.85,102660.44,
MS00258,PRJ0033,Design & Architecture,2024-03-01,26,In Progress,EMP0137,259964.55,,
MS00259,PRJ0033,Development Phase 1,2024-04-20,100,Completed,EMP0111,346619.4,361937.98,
MS00260,PRJ0033,Development Phase 2,2024-06-10,41,Delayed,EMP0070,346619.4,,Dependency on external vendor
MS00261,PRJ0033,Testing & QA,2024-07-18,36,Delayed,EMP0150,259964.55,,Client approval pending
MS00262,PRJ0033,UAT & Client Review,2024-08-12,100,Completed,EMP0062,173309.7,189553.22,Resource bottleneck
MS00263,PRJ0033,Go-Live & Deployment,2024-08-25,53,Delayed,EMP0087,86654.85,,
MS00264,PRJ0033,Project Closure,2024-09-07,100,Completed,EMP0047,86654.85,80182.42,
MS00265,PRJ0034,Kickoff & Requirements,2022-07-22,100,Completed,EMP0003,37886.45,42913.06,
MS00266,PRJ0034,Design & Architecture,2022-08-12,100,Completed,EMP0106,113659.35,95369.23,
MS00267,PRJ0034,Development Phase 1,2022-09-10,100,Completed,EMP0115,151545.8,142544.97,
MS00268,PRJ0034,Development Phase 2,2022-10-08,100,Completed,EMP0073,151545.8,136506.16,
MS00269,PRJ0034,Testing & QA,2022-10-30,100,Completed,EMP0007,113659.35,119087.59,
MS00270,PRJ0034,UAT & Client Review,2022-11-13,100,Completed,EMP0056,75772.9,89426.84,
MS00271,PRJ0034,Go-Live & Deployment,2022-11-20,100,Completed,EMP0032,37886.45,41039.74,
MS00272,PRJ0034,Project Closure,2022-11-28,100,Completed,EMP0023,37886.45,43288.16,
MS00273,PRJ0035,Kickoff & Requirements,2022-09-01,100,Completed,EMP0145,114125.95,127967.15,
MS00274,PRJ0035,Design & Architecture,2022-10-02,64,Delayed,EMP0048,342377.84,,Dependency on external vendor
MS00275,PRJ0035,Development Phase 1,2022-11-13,100,Completed,EMP0020,456503.79,481845.32,Dependency on external vendor
MS00276,PRJ0035,Development Phase 2,2022-12-25,64,Delayed,EMP0083,456503.79,,Dependency on external vendor
MS00277,PRJ0035,Testing & QA,2023-01-26,100,Completed,EMP0019,342377.84,311877.11,
MS00278,PRJ0035,UAT & Client Review,2023-02-16,100,Completed,EMP0086,228251.9,273533.29,Dependency on external vendor
MS00279,PRJ0035,Go-Live & Deployment,2023-02-26,36,In Progress,EMP0046,114125.95,,Client approval pending
MS00280,PRJ0035,Project Closure,2023-03-09,100,Completed,EMP0052,114125.95,119161.27,
MS00281,PRJ0036,Kickoff & Requirements,2022-08-04,100,Completed,EMP0028,56011.6,48032.7,Client approval pending
MS00282,PRJ0036,Design & Architecture,2022-10-06,100,Completed,EMP0028,168034.81,195767.9,
MS00283,PRJ0036,Development Phase 1,2022-12-29,100,Completed,EMP0009,224046.42,185772.08,Resource bottleneck
MS00284,PRJ0036,Development Phase 2,2023-03-24,100,Completed,EMP0115,224046.42,180918.81,Client approval pending
MS00285,PRJ0036,Testing & QA,2023-05-26,100,Completed,EMP0001,168034.81,197131.3,
MS00286,PRJ0036,UAT & Client Review,2023-07-07,100,Completed,EMP0039,112023.21,120987.54,Client approval pending
MS00287,PRJ0036,Go-Live & Deployment,2023-07-28,100,Completed,EMP0132,56011.6,60662.93,Client approval pending
MS00288,PRJ0036,Project Closure,2023-08-19,100,Completed,EMP0104,56011.6,63719.9,
MS00289,PRJ0037,Kickoff & Requirements,2024-11-16,100,Completed,EMP0001,87161.15,83131.65,
MS00290,PRJ0037,Design & Architecture,2024-12-29,50,Delayed,EMP0032,261483.44,,Resource bottleneck
MS00291,PRJ0037,Development Phase 1,2025-02-24,100,Completed,EMP0092,348644.59,325416.45,Dependency on external vendor
MS00292,PRJ0037,Development Phase 2,2025-04-22,0,Not Started,EMP0103,348644.59,,
MS00293,PRJ0037,Testing & QA,2025-06-04,0,Not Started,EMP0024,261483.44,,Dependency on external vendor
MS00294,PRJ0037,UAT & Client Review,2025-07-02,0,Not Started,EMP0137,174322.29,,Dependency on external vendor
MS00295,PRJ0037,Go-Live & Deployment,2025-07-16,0,Not Started,EMP0021,87161.15,,Client approval pending
MS00296,PRJ0037,Project Closure,2025-07-31,0,Not Started,EMP0075,87161.15,,
MS00297,PRJ0038,Kickoff & Requirements,2022-11-27,100,Completed,EMP0142,32306.65,26353.58,Client approval pending
MS00298,PRJ0038,Design & Architecture,2023-01-07,100,Completed,EMP0077,96919.95,104513.91,
MS00299,PRJ0038,Development Phase 1,2023-03-02,100,Completed,EMP0092,129226.6,128528.96,
MS00300,PRJ0038,Development Phase 2,2023-04-25,100,Completed,EMP0049,129226.6,110615.02,
MS00301,PRJ0038,Testing & QA,2023-06-05,100,Completed,EMP0062,96919.95,96502.52,
MS00302,PRJ0038,UAT & Client Review,2023-07-02,61,Delayed,EMP0079,64613.3,,Client approval pending
MS00303,PRJ0038,Go-Live & Deployment,2023-07-16,100,Completed,EMP0116,32306.65,38336.03,
MS00304,PRJ0038,Project Closure,2023-07-30,100,Completed,EMP0015,32306.65,30209.54,
MS00305,PRJ0039,Kickoff & Requirements,2022-09-09,100,Completed,EMP0031,134808.62,119261.32,
MS00306,PRJ0039,Design & Architecture,2022-10-18,100,Completed,EMP0118,404425.87,475619.35,Resource bottleneck
MS00307,PRJ0039,Development Phase 1,2022-12-09,100,Completed,EMP0149,539234.49,481641.16,
MS00308,PRJ0039,Development Phase 2,2023-01-30,100,Completed,EMP0037,539234.49,536839.15,
MS00309,PRJ0039,Testing & QA,2023-03-10,100,Completed,EMP0012,404425.87,362799.54,
MS00310,PRJ0039,UAT & Client Review,2023-04-05,100,Completed,EMP0045,269617.25,283924.37,Dependency on external vendor
MS00311,PRJ0039,Go-Live & Deployment,2023-04-18,26,Delayed,EMP0117,134808.62,,Resource bottleneck
MS00312,PRJ0039,Project Closure,2023-05-01,100,Completed,EMP0017,134808.62,151945.5,
MS00313,PRJ0040,Kickoff & Requirements,2022-12-27,100,Completed,EMP0057,109508.52,90371.25,
MS00314,PRJ0040,Design & Architecture,2023-01-28,100,Completed,EMP0103,328525.55,305428.22,
MS00315,PRJ0040,Development Phase 1,2023-03-11,100,Completed,EMP0036,438034.06,406774.18,
MS00316,PRJ0040,Development Phase 2,2023-04-22,57,Delayed,EMP0045,438034.06,,Dependency on external vendor
MS00317,PRJ0040,Testing & QA,2023-05-24,100,Completed,EMP0071,328525.55,281380.4,Client approval pending
MS00318,PRJ0040,UAT & Client Review,2023-06-14,100,Completed,EMP0095,219017.03,223695.91,Client approval pending
MS00319,PRJ0040,Go-Live & Deployment,2023-06-25,100,Completed,EMP0149,109508.52,89389.56,
MS00320,PRJ0040,Project Closure,2023-07-06,60,Delayed,EMP0097,109508.52,,
MS00321,PRJ0041,Kickoff & Requirements,2023-02-18,0,Cancelled,EMP0125,54927.3,,
MS00322,PRJ0041,Design & Architecture,2023-05-08,0,Cancelled,EMP0046,164781.91,,
MS00323,PRJ0041,Development Phase 1,2023-08-22,100,Completed,EMP0073,219709.21,212346.51,Client approval pending
MS00324,PRJ0041,Development Phase 2,2023-12-06,0,Cancelled,EMP0053,219709.21,,
MS00325,PRJ0041,Testing & QA,2024-02-24,0,Cancelled,EMP0134,164781.91,,Client approval pending
MS00326,PRJ0041,UAT & Client Review,2024-04-17,0,Cancelled,EMP0045,109854.61,,Resource bottleneck
MS00327,PRJ0041,Go-Live & Deployment,2024-05-13,0,Cancelled,EMP0047,54927.3,,
MS00328,PRJ0041,Project Closure,2024-06-09,0,Cancelled,EMP0023,54927.3,,
MS00329,PRJ0042,Kickoff & Requirements,2022-08-14,100,Completed,EMP0078,41121.39,38618.8,
MS00330,PRJ0042,Design & Architecture,2022-09-20,100,Completed,EMP0143,123364.17,110319.1,
MS00331,PRJ0042,Development Phase 1,2022-11-09,100,Completed,EMP0136,164485.56,195855.69,Resource bottleneck
MS00332,PRJ0042,Development Phase 2,2022-12-28,100,Completed,EMP0093,164485.56,188351.17,Resource bottleneck
MS00333,PRJ0042,Testing & QA,2023-02-03,100,Completed,EMP0130,123364.17,109511.67,
MS00334,PRJ0042,UAT & Client Review,2023-02-28,100,Completed,EMP0054,82242.78,74887.86,
MS00335,PRJ0042,Go-Live & Deployment,2023-03-12,100,Completed,EMP0029,41121.39,46000.25,
MS00336,PRJ0042,Project Closure,2023-03-25,100,Completed,EMP0122,41121.39,41080.51,
MS00337,PRJ0043,Kickoff & Requirements,2021-10-05,100,Completed,EMP0012,95379.65,78364.98,Dependency on external vendor
MS00338,PRJ0043,Design & Architecture,2021-11-08,100,Completed,EMP0073,286138.96,252899.89,Dependency on external vendor
MS00339,PRJ0043,Development Phase 1,2021-12-24,100,Completed,EMP0086,381518.62,399346.12,Client approval pending
MS00340,PRJ0043,Development Phase 2,2022-02-09,100,Completed,EMP0012,381518.62,321150.33,
MS00341,PRJ0043,Testing & QA,2022-03-15,100,Completed,EMP0138,286138.96,249042.49,
MS00342,PRJ0043,UAT & Client Review,2022-04-07,100,Completed,EMP0125,190759.31,191896.52,
MS00343,PRJ0043,Go-Live & Deployment,2022-04-19,100,Completed,EMP0061,95379.65,103826.59,Resource bottleneck
MS00344,PRJ0043,Project Closure,2022-05-01,100,Completed,EMP0149,95379.65,88740.17,
MS00345,PRJ0044,Kickoff & Requirements,2022-06-14,100,Completed,EMP0084,20675.37,18442.96,
MS00346,PRJ0044,Design & Architecture,2022-07-27,100,Completed,EMP0026,62026.12,55503.91,Client approval pending
MS00347,PRJ0044,Development Phase 1,2022-09-21,44,Delayed,EMP0057,82701.49,,
MS00348,PRJ0044,Development Phase 2,2022-11-17,100,Completed,EMP0125,82701.49,67958.77,Client approval pending
MS00349,PRJ0044,Testing & QA,2022-12-30,100,Completed,EMP0117,62026.12,54038.66,Dependency on external vendor
MS00350,PRJ0044,UAT & Client Review,2023-01-27,100,Completed,EMP0050,41350.75,43534.42,Dependency on external vendor
MS00351,PRJ0044,Go-Live & Deployment,2023-02-10,100,Completed,EMP0033,20675.37,16805.73,Resource bottleneck
MS00352,PRJ0044,Project Closure,2023-02-25,100,Completed,EMP0035,20675.37,17459.19,Client approval pending
MS00353,PRJ0045,Kickoff & Requirements,2022-10-20,100,Completed,EMP0044,55524.33,61306.4,
MS00354,PRJ0045,Design & Architecture,2022-12-30,58,Delayed,EMP0041,166572.99,,
MS00355,PRJ0045,Development Phase 1,2023-04-04,77,In Progress,EMP0044,222097.32,,Resource bottleneck
MS00356,PRJ0045,Development Phase 2,2023-07-08,74,In Progress,EMP0059,222097.32,,
MS00357,PRJ0045,Testing & QA,2023-09-18,100,Completed,EMP0134,166572.99,165854.29,
MS00358,PRJ0045,UAT & Client Review,2023-11-04,100,Completed,EMP0119,111048.66,101239.55,
MS00359,PRJ0045,Go-Live & Deployment,2023-11-28,100,Completed,EMP0064,55524.33,49923.73,Client approval pending
MS00360,PRJ0045,Project Closure,2023-12-22,100,Completed,EMP0039,55524.33,64713.71,
MS00361,PRJ0046,Kickoff & Requirements,2022-03-23,100,Completed,EMP0107,91505.41,109081.18,
MS00362,PRJ0046,Design & Architecture,2022-04-07,100,Completed,EMP0121,274516.22,300153.43,Resource bottleneck
MS00363,PRJ0046,Development Phase 1,2022-04-27,100,Completed,EMP0009,366021.63,355143.12,Client approval pending
MS00364,PRJ0046,Development Phase 2,2022-05-17,100,Completed,EMP0123,366021.63,411366.81,
MS00365,PRJ0046,Testing & QA,2022-06-01,100,Completed,EMP0026,274516.22,269293.97,
MS00366,PRJ0046,UAT & Client Review,2022-06-11,100,Completed,EMP0022,183010.81,187292.31,
MS00367,PRJ0046,Go-Live & Deployment,2022-06-16,100,Completed,EMP0105,91505.41,107973.96,
MS00368,PRJ0046,Project Closure,2022-06-21,100,Completed,EMP0092,91505.41,84030.9,
MS00369,PRJ0047,Kickoff & Requirements,2021-05-19,21,In Progress,EMP0123,8388.83,,
MS00370,PRJ0047,Design & Architecture,2021-06-30,100,Completed,EMP0118,25166.49,28769.55,
MS00371,PRJ0047,Development Phase 1,2021-08-25,100,Completed,EMP0117,33555.32,33068.91,
MS00372,PRJ0047,Development Phase 2,2021-10-20,45,Delayed,EMP0048,33555.32,,Dependency on external vendor
MS00373,PRJ0047,Testing & QA,2021-12-01,100,Completed,EMP0001,25166.49,28794.32,
MS00374,PRJ0047,UAT & Client Review,2021-12-29,100,Completed,EMP0086,16777.66,16985.17,Dependency on external vendor
MS00375,PRJ0047,Go-Live & Deployment,2022-01-12,100,Completed,EMP0070,8388.83,9053.41,Resource bottleneck
MS00376,PRJ0047,Project Closure,2022-01-27,100,Completed,EMP0054,8388.83,9354.19,
MS00377,PRJ0048,Kickoff & Requirements,2024-08-22,100,Completed,EMP0086,14391.78,15748.99,
MS00378,PRJ0048,Design & Architecture,2024-09-27,100,Completed,EMP0094,43175.34,49875.77,
MS00379,PRJ0048,Development Phase 1,2024-11-14,100,Completed,EMP0120,57567.12,60310.39,Dependency on external vendor
MS00380,PRJ0048,Development Phase 2,2025-01-01,100,Completed,EMP0144,57567.12,62284.72,Resource bottleneck
MS00381,PRJ0048,Testing & QA,2025-02-06,100,Completed,EMP0053,43175.34,36930.56,Dependency on external vendor
MS00382,PRJ0048,UAT & Client Review,2025-03-02,100,Completed,EMP0030,28783.56,30499.5,
MS00383,PRJ0048,Go-Live & Deployment,2025-03-14,57,At Risk,EMP0054,14391.78,,
MS00384,PRJ0048,Project Closure,2025-03-27,0,Not Started,EMP0083,14391.78,,Dependency on external vendor
MS00385,PRJ0049,Kickoff & Requirements,2024-12-16,52,Delayed,EMP0109,103088.48,,Dependency on external vendor
MS00386,PRJ0049,Design & Architecture,2025-01-11,100,Completed,EMP0096,309265.43,290119,Client approval pending
MS00387,PRJ0049,Development Phase 1,2025-02-14,100,Completed,EMP0032,412353.91,407432.69,Resource bottleneck
MS00388,PRJ0049,Development Phase 2,2025-03-19,0,Not Started,EMP0137,412353.91,,Dependency on external vendor
MS00389,PRJ0049,Testing & QA,2025-04-14,0,Not Started,EMP0116,309265.43,,Resource bottleneck
MS00390,PRJ0049,UAT & Client Review,2025-05-01,0,Not Started,EMP0095,206176.95,,
MS00391,PRJ0049,Go-Live & Deployment,2025-05-09,0,Not Started,EMP0017,103088.48,,
MS00392,PRJ0049,Project Closure,2025-05-18,0,Not Started,EMP0118,103088.48,,
MS00393,PRJ0050,Kickoff & Requirements,2024-02-20,100,Completed,EMP0021,133508.07,127670.16,
MS00394,PRJ0050,Design & Architecture,2024-04-11,100,Completed,EMP0074,400524.2,473941.33,
MS00395,PRJ0050,Development Phase 1,2024-06-18,100,Completed,EMP0028,534032.26,462422,
MS00396,PRJ0050,Development Phase 2,2024-08-25,100,Completed,EMP0038,534032.26,533248.03,
MS00397,PRJ0050,Testing & QA,2024-10-15,100,Completed,EMP0134,400524.2,472955.76,
MS00398,PRJ0050,UAT & Client Review,2024-11-18,100,Completed,EMP0076,267016.13,258101.71,
MS00399,PRJ0050,Go-Live & Deployment,2024-12-05,100,Completed,EMP0139,133508.07,156563.39,Client approval pending
MS00400,PRJ0050,Project Closure,2024-12-22,100,Completed,EMP0089,133508.07,129242.75,
MS00401,PRJ0051,Kickoff & Requirements,2024-03-29,100,Completed,EMP0006,116802.31,107061.78,
MS00402,PRJ0051,Design & Architecture,2024-05-28,100,Completed,EMP0006,350406.94,402518.57,
MS00403,PRJ0051,Development Phase 1,2024-08-15,100,Completed,EMP0134,467209.25,494246.09,Client approval pending
MS00404,PRJ0051,Development Phase 2,2024-11-03,100,Completed,EMP0149,467209.25,437829.73,
MS00405,PRJ0051,Testing & QA,2025-01-01,100,Completed,EMP0084,350406.94,348465.46,
MS00406,PRJ0051,UAT & Client Review,2025-02-10,100,Completed,EMP0136,233604.62,265553.13,Client approval pending
MS00407,PRJ0051,Go-Live & Deployment,2025-03-02,100,Completed,EMP0118,116802.31,107648.86,
MS00408,PRJ0051,Project Closure,2025-03-22,100,Completed,EMP0079,116802.31,101465.57,Dependency on external vendor
MS00409,PRJ0052,Kickoff & Requirements,2024-12-21,100,Completed,EMP0096,46506.67,55263.4,
MS00410,PRJ0052,Design & Architecture,2025-02-04,100,Completed,EMP0073,139520.02,137060.37,
MS00411,PRJ0052,Development Phase 1,2025-04-06,0,Not Started,EMP0042,186026.69,,
MS00412,PRJ0052,Development Phase 2,2025-06-05,0,Not Started,EMP0138,186026.69,,Dependency on external vendor
MS00413,PRJ0052,Testing & QA,2025-07-21,0,Not Started,EMP0047,139520.02,,
MS00414,PRJ0052,UAT & Client Review,2025-08-20,0,Not Started,EMP0040,93013.35,,
MS00415,PRJ0052,Go-Live & Deployment,2025-09-04,0,Not Started,EMP0061,46506.67,,
MS00416,PRJ0052,Project Closure,2025-09-20,0,Not Started,EMP0011,46506.67,,Dependency on external vendor
MS00417,PRJ0053,Kickoff & Requirements,2021-08-01,0,Cancelled,EMP0113,35710.59,,Dependency on external vendor
MS00418,PRJ0053,Design & Architecture,2021-09-16,0,Cancelled,EMP0053,107131.77,,Resource bottleneck
MS00419,PRJ0053,Development Phase 1,2021-11-17,100,Completed,EMP0082,142842.36,170155.11,
MS00420,PRJ0053,Development Phase 2,2022-01-19,0,Cancelled,EMP0139,142842.36,,
MS00421,PRJ0053,Testing & QA,2022-03-06,0,Cancelled,EMP0032,107131.77,,
MS00422,PRJ0053,UAT & Client Review,2022-04-06,0,Cancelled,EMP0128,71421.18,,
MS00423,PRJ0053,Go-Live & Deployment,2022-04-22,100,Completed,EMP0082,35710.59,30797.57,
MS00424,PRJ0053,Project Closure,2022-05-08,0,Cancelled,EMP0130,35710.59,,Dependency on external vendor
MS00425,PRJ0054,Kickoff & Requirements,2024-10-09,100,Completed,EMP0076,18442.08,18249.62,Dependency on external vendor
MS00426,PRJ0054,Design & Architecture,2024-11-05,68,In Progress,EMP0147,55326.24,,
MS00427,PRJ0054,Development Phase 1,2024-12-11,100,Completed,EMP0145,73768.32,80512.03,Client approval pending
MS00428,PRJ0054,Development Phase 2,2025-01-17,100,Completed,EMP0029,73768.32,80603.41,
MS00429,PRJ0054,Testing & QA,2025-02-13,100,Completed,EMP0142,55326.24,46847.52,
MS00430,PRJ0054,UAT & Client Review,2025-03-03,100,Completed,EMP0057,36884.16,36087.06,
MS00431,PRJ0054,Go-Live & Deployment,2025-03-12,58,In Progress,EMP0050,18442.08,,Resource bottleneck
MS00432,PRJ0054,Project Closure,2025-03-22,0,Not Started,EMP0072,18442.08,,
MS00433,PRJ0055,Kickoff & Requirements,2023-02-01,0,Cancelled,EMP0138,144551.2,,Client approval pending
MS00434,PRJ0055,Design & Architecture,2023-03-10,0,Cancelled,EMP0023,433653.59,,Resource bottleneck
MS00435,PRJ0055,Development Phase 1,2023-04-28,0,Cancelled,EMP0126,578204.79,,Dependency on external vendor
MS00436,PRJ0055,Development Phase 2,2023-06-16,0,Cancelled,EMP0131,578204.79,,
MS00437,PRJ0055,Testing & QA,2023-07-23,100,Completed,EMP0093,433653.59,415883.86,
MS00438,PRJ0055,UAT & Client Review,2023-08-17,100,Completed,EMP0095,289102.4,275932.35,
MS00439,PRJ0055,Go-Live & Deployment,2023-08-29,0,Cancelled,EMP0090,144551.2,,Dependency on external vendor
MS00440,PRJ0055,Project Closure,2023-09-11,100,Completed,EMP0144,144551.2,120705.95,
MS00441,PRJ0056,Kickoff & Requirements,2022-07-31,67,Delayed,EMP0107,49192.49,,Client approval pending
MS00442,PRJ0056,Design & Architecture,2022-09-19,100,Completed,EMP0109,147577.46,161072.26,Client approval pending
MS00443,PRJ0056,Development Phase 1,2022-11-25,100,Completed,EMP0023,196769.94,168721.51,Dependency on external vendor
MS00444,PRJ0056,Development Phase 2,2023-01-31,100,Completed,EMP0135,196769.94,235072.26,
MS00445,PRJ0056,Testing & QA,2023-03-22,57,In Progress,EMP0097,147577.46,,
MS00446,PRJ0056,UAT & Client Review,2023-04-24,100,Completed,EMP0070,98384.97,95020.76,Resource bottleneck
MS00447,PRJ0056,Go-Live & Deployment,2023-05-11,100,Completed,EMP0146,49192.49,54214.92,
MS00448,PRJ0056,Project Closure,2023-05-28,100,Completed,EMP0098,49192.49,45049.75,Client approval pending
MS00449,PRJ0057,Kickoff & Requirements,2022-01-27,100,Completed,EMP0078,100757.53,114242.32,Dependency on external vendor
MS00450,PRJ0057,Design & Architecture,2022-03-10,100,Completed,EMP0119,302272.58,268964.59,
MS00451,PRJ0057,Development Phase 1,2022-05-05,100,Completed,EMP0077,403030.11,476547.08,
MS00452,PRJ0057,Development Phase 2,2022-06-29,100,Completed,EMP0074,403030.11,389674.78,Client approval pending
MS00453,PRJ0057,Testing & QA,2022-08-10,61,In Progress,EMP0063,302272.58,,
MS00454,PRJ0057,UAT & Client Review,2022-09-07,100,Completed,EMP0071,201515.05,200954.86,
MS00455,PRJ0057,Go-Live & Deployment,2022-09-21,100,Completed,EMP0093,100757.53,104024.72,Resource bottleneck
MS00456,PRJ0057,Project Closure,2022-10-05,100,Completed,EMP0067,100757.53,105916.15,Client approval pending
MS00457,PRJ0058,Kickoff & Requirements,2022-09-07,72,In Progress,EMP0031,29417.41,,Dependency on external vendor
MS00458,PRJ0058,Design & Architecture,2022-11-03,100,Completed,EMP0148,88252.24,71221.15,Dependency on external vendor
MS00459,PRJ0058,Development Phase 1,2023-01-18,100,Completed,EMP0015,117669.66,101014.09,Client approval pending
MS00460,PRJ0058,Development Phase 2,2023-04-05,28,Delayed,EMP0092,117669.66,,
MS00461,PRJ0058,Testing & QA,2023-06-01,100,Completed,EMP0093,88252.24,85411.01,Dependency on external vendor
MS00462,PRJ0058,UAT & Client Review,2023-07-09,100,Completed,EMP0075,58834.83,59531.72,
MS00463,PRJ0058,Go-Live & Deployment,2023-07-28,100,Completed,EMP0047,29417.41,32532,Resource bottleneck
MS00464,PRJ0058,Project Closure,2023-08-17,54,Delayed,EMP0083,29417.41,,Dependency on external vendor
MS00465,PRJ0059,Kickoff & Requirements,2021-12-08,100,Completed,EMP0078,144072.26,130901.69,
MS00466,PRJ0059,Design & Architecture,2021-12-22,100,Completed,EMP0093,432216.79,362341.76,Resource bottleneck
MS00467,PRJ0059,Development Phase 1,2022-01-10,100,Completed,EMP0091,576289.05,650818.17,
MS00468,PRJ0059,Development Phase 2,2022-01-29,100,Completed,EMP0036,576289.05,580477.69,Dependency on external vendor
MS00469,PRJ0059,Testing & QA,2022-02-13,100,Completed,EMP0125,432216.79,417001.81,
MS00470,PRJ0059,UAT & Client Review,2022-02-22,100,Completed,EMP0027,288144.53,255627.56,Resource bottleneck
MS00471,PRJ0059,Go-Live & Deployment,2022-02-27,100,Completed,EMP0057,144072.26,163180.48,Resource bottleneck
MS00472,PRJ0059,Project Closure,2022-03-04,100,Completed,EMP0135,144072.26,164015.88,
MS00473,PRJ0060,Kickoff & Requirements,2021-09-18,100,Completed,EMP0030,56111.81,54256.67,
MS00474,PRJ0060,Design & Architecture,2021-11-08,100,Completed,EMP0034,168335.43,196845.37,Client approval pending
MS00475,PRJ0060,Development Phase 1,2022-01-15,100,Completed,EMP0093,224447.24,192038.31,Client approval pending
MS00476,PRJ0060,Development Phase 2,2022-03-24,58,Delayed,EMP0134,224447.24,,Dependency on external vendor
MS00477,PRJ0060,Testing & QA,2022-05-14,100,Completed,EMP0078,168335.43,136604.84,
MS00478,PRJ0060,UAT & Client Review,2022-06-17,100,Completed,EMP0037,112223.62,120664.95,Dependency on external vendor
MS00479,PRJ0060,Go-Live & Deployment,2022-07-04,100,Completed,EMP0034,56111.81,66910.18,Client approval pending
MS00480,PRJ0060,Project Closure,2022-07-22,100,Completed,EMP0029,56111.81,46634.19,Client approval pending
